Id,CAS,SMILES,Status,Experimental value,Predicted value
244,68-76-8,O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4,Training,-0.13,-0.8306
245,68-96-2,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4,Training,3.17,2.2176
246,69-23-8,FC(F)(F)c1ccc3c(c1)N(c2ccccc2S3)CCCN4CCN(CCO)CC4,Training,4.36,4.1202
247,69-33-0,OCC3OC(n2ccc1c(ncnc12)N)C(O)C3(O),Training,-0.8,-2.1328
248,69-53-4,O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C),Training,0.11,0.4635
249,69-72-7,O=C(O)c1ccccc1(O),Training,2.26,3.3642
250,70-00-8,O=C1NC(=O)N(C=C1C(F)(F)F)C2OC(CO)C(O)C2,Training,-0.46,-0.7763
251,70-11-1,O=C(c1ccccc1)CBr,Training,2.19,2.0171
252,70-26-8,O=C(O)C(N)CCCN,Training,-4.22,-3.4792
253,70-30-4,Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,Training,7.54,7.1547
254,70-47-3,O=C(O)C(N)CC(=O)N,Training,-3.82,-4.985
255,70-55-3,O=S(=O)(N)c1ccc(cc1)C,Training,0.82,0.9176
256,70-70-2,O=C(c1ccc(O)cc1)CC,Training,2.03,1.6845
257,71-00-1,O=C(O)C(N)Cc1nc[nH]c1,Training,-3.32,-3.217
258,71-23-8,OCCC,Training,0.25,0.3499
259,71-33-0,O=C1N=CNC(=O)N1,Training,-1.87,-0.0664
260,71-36-3,OCCCC,Training,0.88,0.841
261,71-41-0,OCCCCC,Training,1.51,1.3321
262,71-43-2,c1ccccc1,Training,2.13,1.993
263,71-55-6,CC(Cl)(Cl)Cl,Training,2.49,2.6792
264,71-63-6,O=C1OCC(=C1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C))),Training,1.85,0.6795
265,72-14-0,O=S(=O)(Nc1nccs1)c2ccc(N)cc2,Training,0.05,0.7151
266,72-18-4,O=C(O)C(N)C(C)C,Training,-2.26,-2.0817
267,72-19-5,O=C(O)C(N)C(O)C,Training,-2.94,-4.0376
268,72-43-5,O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C,Training,5.08,6.1831
269,72-54-8,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl,Training,6.02,6.3892
270,72-55-9,c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl,Training,6.51,6.7978
271,73-24-5,n1cnc2[nH]cnc2(c1N),Training,-0.07,-0.8786
272,73-32-5,O=C(O)C(N)C(C)CC,Training,-1.7,-1.5906
273,73-48-3,O=S(=O)(N)c1cc2c(cc1C(F)(F)F)NC(NS2(=O)(=O))Cc3ccccc3,Training,1.89,0.8835
274,74-11-3,O=C(O)c1ccc(cc1)Cl,Training,2.65,2.5189
275,74-82-8,C,Training,1.09,0.229
276,74-84-0,CC,Training,1.81,1.3236
277,74-85-1,C=C,Training,1.13,1.2658
278,74-86-2,C#C,Training,0.37,0.4958
279,74-87-3,CCl,Training,0.91,1.0865
280,74-88-4,CI,Training,1.51,1.5909
281,74-89-5,NC,Training,-0.57,-0.6385
282,74-90-8,N#C,Training,-0.25,0.3624
283,74-95-3,C(Br)Br,Training,1.7,1.5195
284,74-96-4,CCBr,Training,1.61,1.6671
285,74-97-5,C(Cl)Br,Training,1.41,1.43
286,74-98-6,CCC,Training,2.36,1.8147
287,74-99-7,C#CC,Training,0.94,1.3097
288,75-00-3,CCCl,Training,1.43,1.5776
289,75-03-6,CCI,Training,2,2.082
290,75-04-7,NCC,Training,-0.13,-0.1474
291,75-05-8,N#CC,Training,-0.34,-0.1455
292,75-07-0,O=CC,Training,-0.34,-0.1659
293,75-09-2,C(Cl)Cl,Training,1.25,1.3405
294,75-10-5,FCF,Training,0.2,0.7139
295,75-11-6,C(I)I,Training,2.3,2.3493
