Id	CAS	SMILES	Status	Experimental value [log(L/kg)]	Predicted value [log(L/kg)]
30	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	2.99	3.055513
31	85-01-8	c1ccc3c(c1)ccc2ccccc23	Test	3.01	3.0552223
32	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	2.56	3.1611242
33	605-02-7	c1ccc(cc1)c3cccc2ccccc23	Training	3.51	3.1593065
34	613-12-7	c1ccc2cc3cc(ccc3(cc2(c1)))C	Training	2.41	3.125531
35	779-02-2	c1ccc3c(c1)cc2ccccc2c3C	Training	2.72	3.1235511
36	832-69-9	c1ccc3c(c1)ccc2c3(cccc2C)	Training	3.18	3.1263587
37	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Test	2.71	3.1781766
38	2381-21-7	c1cc2ccc3ccc(c4ccc(c1)c2c34)C	Training	2.73	3.1602013
39	217-59-4	c1ccc3c(c1)c2ccccc2c4ccccc34	Training	2.41	3.1575263
40	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	2.54	3.0924354
41	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Test	2.24	3.094854
42	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	2.69	2.977902
43	198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	Training	2.38	2.9845905
44	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	2.8	2.7256958
45	5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	Training	3.66	2.6622555
46	74918-40-4	o2c1cc(ccc1c3cccc(c23)Cl)Cl	Test	3.01	2.9660647
47	29446-15-9	O1c3ccccc3(Oc2cc(c(cc12)Cl)Cl)	Training	2.88	1.9313173
48	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	4.52	3.7962213
49	33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Test	2.22	1.9306682
50	83704-22-7	o2c1cc(ccc1c3c2cc(c(c3Cl)Cl)Cl)Cl	Training	3.41	3.8807614
51	62615-08-1	o2c1ccc(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl	Training	3.11	3.8027868
52	39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	Training	2.97	2.7047975
53	30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	Training	3.5	3.169579
54	67028-18-6	O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl	Training	3.35	3.0904214
55	355-46-4	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	3.6	1.5846939
56	335-67-1	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	3.12	2.5341697
57	1763-23-1	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	3.73	1.6967318
58	78-79-5	C=CC(=C)C	Training	1.11	0.85647917
59	107-39-1	C=C(C)CC(C)(C)C	Training	2.79	2.175012
60	124-11-8	C=CCCCCCCC	Training	3.17	2.6243024
61	764-13-6	C(C=C(C)C)=C(C)C	Test	2.31	2.0996134
63	144-19-4	OCC(C)(C)C(O)C(C)C	Test	-1.0	0.44901988
64	126-30-7	OCC(C)(C)CO	Training	-0.42	0.06843179
65	115-77-5	OCC(CO)(CO)CO	Training	0.1	0.18943104
66	60-29-7	O(CC)CC	Test	0.73	0.34899035
67	142-96-1	O(CCCC)CCCC	Training	1.86	1.48492
68	544-01-4	O(CCC(C)C)CCC(C)C	Training	2.24	1.9371476
69	103-44-6	O(C=C)CC(CC)CCCC	Training	2.77	1.6413281
70	110-98-5	OC(C)COCC(O)C	Training	0.53	0.07729925
71	526-78-3	O=C(O)C(C(C(=O)O)Br)Br	Training	0.81	0.2266269
72	298-07-7	O=P(O)(OCC(CC)CCCC)OCC(CC)CCCC	Training	0.64	1.7323941
73	75-65-0	OC(C)(C)C	Training	0.7	0.19771872
74	98-83-9	C=C(c1ccccc1)C	Training	1.8	2.1885421
75	95-63-6	c1cc(c(cc1C)C)C	Training	2.08	2.1951654
77	28106-30-1	C=Cc1ccccc1CC	Training	2.57	2.5232966
78	535-77-3	c1cc(cc(c1)C(C)C)C	Training	2.73	2.6313872
79	105-05-5	c1cc(ccc1CC)CC	Training	2.68	2.6360657
80	141-93-5	c1cc(cc(c1)CC)CC	Test	2.73	2.6244273
81	1321-74-0	C=Cc1cccc(C=C)c1	Training	2.55	2.486203
83	98-54-4	Oc1ccc(cc1)C(C)(C)C	Training	1.83	1.3507671
84	99-71-8	Oc1ccc(cc1)C(C)CC	Training	1.31	1.4676716
85	1806-26-4	Oc1ccc(cc1)CCCCCCCC	Training	1.87	2.914359
87	5510-99-6	Oc1c(cccc1C(C)CC)C(C)CC	Training	2.55	2.2321122
88	96-76-4	Oc1ccc(cc1C(C)(C)C)C(C)(C)C	Test	2.39	2.5235336
89	128-37-0	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	3.03	2.667639
90	732-26-3	Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	4.14	2.74008
91	4130-42-1	Oc1c(cc(cc1C(C)(C)C)CC)C(C)(C)C	Training	3.46	2.7449586
92	101-53-1	Oc1ccc(cc1)Cc2ccccc2	Test	1.32	2.2823286
93	N.A.	OCC(O)COc1ccc(cc1)C(C)CC	Training	0.63	0.7064351
94	95-57-8	Oc1ccccc1Cl	Test	1.35	0.76993096
95	106-48-9	Oc1ccc(cc1)Cl	Training	1.5	0.9016576
96	108-43-0	Oc1cccc(c1)Cl	Training	1.06	0.77267677
97	95-56-7	Oc1ccccc1Br	Training	1.51	1.0172805
98	106-41-2	Oc1ccc(cc1)Br	Training	1.17	0.608346
99	591-20-8	Oc1cccc(c1)Br	Training	1.2	1.0210557
100	59-50-7	Oc1ccc(c(c1)C)Cl	Training	0.92	0.9804401
101	615-74-7	Oc1cc(ccc1Cl)C	Training	0.53	1.1439315
102	1570-64-5	Oc1ccc(cc1C)Cl	Training	1.01	0.98117995
103	87-65-0	Oc1c(cccc1Cl)Cl	Training	1.03	1.1201606
104	95-77-2	Oc1ccc(c(c1)Cl)Cl	Test	1.69	1.0472533
105	120-83-2	Oc1ccc(cc1Cl)Cl	Training	1.53	1.0486501
106	576-24-9	Oc1cccc(c1Cl)Cl	Test	1.13	1.1140827
107	583-78-8	Oc1cc(ccc1Cl)Cl	Training	1.02	1.3931373
108	591-35-5	Oc1cc(cc(c1)Cl)Cl	Test	1.91	1.1208038
109	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	2.72	1.6138614
110	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	1.82	1.6236533
111	98-73-7	O=C(O)c1ccc(cc1)C(C)(C)C	Training	0.21	1.5373534
112	118-91-2	O=C(O)c1ccccc1Cl	Training	1.0	0.78441304
113	47377-16-2	O=S(=O)(O)c1ccc(cc1)CCCCCCCCCCCCCC	Training	0.52	1.3969382
114	100-40-3	C=CC1CC=CCC1	Training	2.2	1.77943
115	108-87-2	CC1CCCCC1	Training	2.27	2.3152502
116	110-82-7	C1CCCCC1	Test	1.92	1.9494863
117	4904-61-4	C1=CCCC=CCCC=CCC1	Training	3.92	2.823826
118	294-62-2	C1CCCCCCCCCCC1	Training	3.99	3.3680606
119	2216-51-5	OC1CC(C)CCC1(C(C)C)	Training	0.89	1.5625061
120	50-31-7	O=C(O)c1c(ccc(c1Cl)Cl)Cl	Training	0.54	1.5710901
121	88-98-2	O=C(O)C1CC=CCC1(C(=O)O)	Training	0.3	0.107263066
124	4821-19-6	Oc1c(cccc1C2CCCCC2)C3CCCCC3	Test	2.89	2.137697
125	101-81-5	c1ccc(cc1)Cc2ccccc2	Training	2.94	3.0480921
126	97-23-4	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	2.28	2.3663256
127	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	2.07	3.1352232
128	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Test	1.64	1.9690038
129	1843-05-6	O=C(c1ccccc1)c2ccc(OCCCCCCCC)cc2(O)	Test	1.9	1.927142
130	76-93-7	O=C(O)C(O)(c1ccccc1)c2ccccc2	Training	0.26	0.9909981
131	50853-70-8	O=C(O)C2C1C=C(C)C(C1)C2(C(=O)O)	Training	0.74	0.27613103
132	2050-76-2	Oc2c1ccccc1c(cc2Cl)Cl	Training	1.35	2.2034018
133	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Training	0.6	0.79057974
134	1141-38-4	O=C(O)c1ccc2cc(ccc2(c1))C(=O)O	Training	0.72	0.9092889
135	7267-11-0	O=C(O)c1ccc(c2c1c(ccc2Cl)C(=O)O)Cl	Training	0.18	1.4969074
138	84-87-7	O=S(=O)(O)c2ccc(O)c1ccccc12	Test	1.11	0.41310778
139	118-32-1	O=S(=O)(O)c2cc1ccc(O)cc1c(c2)S(=O)(=O)O	Training	0.0	0.16139016
140	148-75-4	O=S(=O)(O)c1ccc2cc(O)c(cc2(c1))S(=O)(=O)O	Training	0.3	0.28223848
142	119-64-2	c1ccc2c(c1)CCCC2	Training	2.53	2.6316917
144	29690-50-9	CC(C)C2CCCC1CCCCC12	Test	3.58	3.3724394
145	16219-75-3	C(=C1CC2C=CC1C2)C	Test	2.04	2.0319133
146	79-92-5	C=C2C1CCC(C1)C2(C)C	Training	2.98	2.330922
147	77-73-6	C2=CC3C1C=CC(C1)C3(C2)	Training	2.27	2.2988348
149	83-32-9	c2cc1cccc3c1c(c2)CC3	Test	2.88	2.907996
151	84-51-5	O=C1c3ccccc3(C(=O)c2cc(ccc12)CC)	Training	2.83	1.6098231
152	13936-21-5	O=C1c3ccccc3(C(=O)c2cc(ccc12)CCCCC)	Training	2.91	1.9123504
153	129-43-1	O=C1c3ccccc3(C(=O)c2c(O)cccc12)	Test	2.26	0.79760605
154	2498-66-0	O=C1c4ccccc4(C(=O)c2c3ccccc3(ccc12))	Training	1.69	1.7372056
155	82-05-3	O=C2c1ccccc1c4cccc3cccc2c34	Training	2.11	1.9127598
156	2668-47-5	Oc1c(cc(cc1C(C)(C)C)c2ccccc2)C(C)(C)C	Test	3.78	2.6508014
157	13540-50-6	c1ccc(cc1)Cc2cc(ccc2C)C	Test	3.14	3.1596289
160	86-87-3	O=C(O)Cc2cccc1ccccc12	Test	0.47	1.1352106
161	527-60-6	Oc1c(cc(cc1C)C)C	Training	0.73	0.91259515
162	132-64-9	o2c1ccccc1c3ccccc23	Training	3.18	1.8750918
163	17302-11-3	CCCCCCC(CC)CC	Training	3.32	3.3717418
164	62338-09-4	CCCCCCCC(C)C(C)(C)C	Training	3.34	3.2376688
165	475-03-6	c1cc2c(cc1C)CCCC2(C)C	Training	3.33	3.1472359
166	22907-72-8	CC(C)C1CCC(CC1)C(C)C	Training	3.5	3.346278
167	N.A.	CC(C)CC1CC(C)CCC1(C)	Training	3.37	3.3561413
168	4292-75-5	CCCCCCC1CCCCC1	Training	3.29	3.3360615
169	19780-74-6	C=CCCC(CC)CCCC	Training	3.43	3.019084
171	626-39-1	c1c(cc(cc1Br)Br)Br	Training	3.38	3.1978045
172	615-54-3	c1cc(c(cc1Br)Br)Br	Training	3.34	3.2325606
173	N.A.	c1cc(c(c(c1Br)Br)Br)Br	Training	3.18	3.4982824
174	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Test	4.23	3.3381143
175	39569-21-6	c1(c(c(c(c(c1Br)Br)Br)Br)Cl)C	Test	3.98	3.4788318
176	87-83-2	c1(c(c(c(c(c1Br)Br)Br)Br)Br)C	Training	3.76	3.3181968
177	13029-08-8	c1ccc(c(c1)c2ccccc2Cl)Cl	Training	3.53	3.885642
178	16605-91-7	c1ccc(cc1)c2cccc(c2Cl)Cl	Training	3.72	3.8820581
179	34883-39-1	c1ccc(cc1)c2cc(ccc2Cl)Cl	Training	3.86	3.8801658
180	2050-67-1	c1cc(cc(c1)Cl)c2cccc(c2)Cl	Test	2.63	3.8749592
181	34883-41-5	c1ccc(cc1)c2cc(cc(c2)Cl)Cl	Training	3.11	3.875605
183	7012-37-5	c1cc(ccc1c2ccc(cc2Cl)Cl)Cl	Training	4.33	4.3219223
184	16606-02-3	c1cc(ccc1c2cc(ccc2Cl)Cl)Cl	Training	3.95	4.326456
185	15862-07-4	c1ccc(cc1)c2cc(c(cc2Cl)Cl)Cl	Training	4.22	4.3316584
186	35693-99-3	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	Training	4.44	4.637369
187	38444-93-8	c2cc(c1cccc(c1Cl)Cl)c(c(c2)Cl)Cl	Training	4.17	4.643459
188	32598-10-0	c1cc(c(cc1c2ccc(cc2Cl)Cl)Cl)Cl	Training	4.56	4.6210465
189	36559-22-5	c2cc(c1ccc(cc1Cl)Cl)c(c(c2)Cl)Cl	Training	4.53	4.6351695
190	41464-40-8	c1cc(cc(c1c2cc(ccc2Cl)Cl)Cl)Cl	Training	4.26	4.632092
191	41464-41-9	c2cc(c(c1cc(ccc1Cl)Cl)c(c2)Cl)Cl	Training	4.46	4.646042
192	41464-42-0	c1cc(c(cc1Cl)c2cc(cc(c2)Cl)Cl)Cl	Training	4.85	4.6307607
193	33284-54-7	c1ccc(cc1)c2c(c(cc(c2Cl)Cl)Cl)Cl	Training	4.71	4.6446786
194	33284-53-6	c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl	Training	4.39	4.6362147
195	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	3.51	4.6152644
196	18259-05-7	c1ccc(cc1)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	4.85	4.6496453
197	32598-14-4	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	Training	4.28	4.6338587
198	37680-73-2	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	Training	4.63	4.640276
199	38380-02-8	c1cc(c(c(c1c2cc(ccc2Cl)Cl)Cl)Cl)Cl	Test	4.02	4.642746
200	60145-21-3	c1cc(c(cc1Cl)c2c(cc(cc2Cl)Cl)Cl)Cl	Training	4.58	4.644737
201	56558-16-8	c2cc(c(c1c(cc(cc1Cl)Cl)Cl)c(c2)Cl)Cl	Training	4.81	4.6513844
202	56558-17-9	c1cc(c(cc1c2c(cc(cc2Cl)Cl)Cl)Cl)Cl	Test	4.81	4.6359982
203	57465-28-8	c1cc(c(cc1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Training	4.68	4.628431
204	31508-00-6	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Training	4.38	4.631336
205	108-90-7	c1ccc(cc1)Cl	Test	1.13	1.6411202
206	108-86-1	c1ccc(cc1)Br	Test	1.35	1.873319
207	95-49-8	c1ccc(c(c1)C)Cl	Training	1.82	2.0732121
208	106-43-4	c1cc(ccc1C)Cl	Training	1.68	2.0912764
209	95-50-1	c1ccc(c(c1)Cl)Cl	Training	2.24	2.2197158
210	541-73-1	c1cc(cc(c1)Cl)Cl	Training	2.33	2.2250304
211	106-37-6	c1cc(ccc1Br)Br	Training	2.21	2.7310886
212	98-15-7	FC(F)(F)c1cccc(c1)Cl	Training	2.35	2.2145963
213	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	2.82	2.7516942
214	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	2.97	2.7518735
215	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	2.86	2.9641588
217	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	3.45	3.441012
219	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	3.49	3.462887
220	634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	3.04	3.4123015
221	92-86-4	c1cc(ccc1c2ccc(cc2)Br)Br	Training	3.57	2.8891883
223	20020-02-4	c1ccc2c(c1)c(c(c(c2Cl)Cl)Cl)Cl	Training	3.33	4.467
224	3010-80-8	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)c3ccc(cc3)Cl	Training	3.95	3.4884827
225	59039-21-3	O(c1ccc(cc1)Cl)c2ccc(cc2Cl)Cl	Training	3.79	3.5892837
226	28076-73-5	O(c1ccc(cc1Cl)Cl)c2ccc(cc2Cl)Cl	Training	4.14	3.8981998
227	61328-45-8	O(c1ccc(cc1)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	4.11	3.8919427
228	104294-16-8	O(c1ccc(cc1Cl)Cl)c2c(cc(cc2Cl)Cl)Cl	Training	3.95	3.9957907
229	61328-46-9	O(c1ccc(c(c1)Cl)Cl)c2ccc(cc2Cl)Cl	Training	4.24	3.8792264
230	56348-72-2	O(c1ccc(c(c1)Cl)Cl)c2ccc(c(c2)Cl)Cl	Test	4.17	3.8577726
231	60123-64-0	O(c1ccc(cc1Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Test	4.21	3.991379
232	60123-65-1	O(c1ccc(c(c1)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	4.08	3.9766476
233	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	3.35	2.6869895
237	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	4.23	4.162086
238	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	4.51	4.1711493
239	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	4.57	4.189367
240	75-09-2	C(Cl)Cl	Training	1.37	0.5728877
241	67-66-3	C(Cl)(Cl)Cl	Test	0.93	0.6098779
242	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	0.87	0.6133194
243	75-25-2	C(Br)(Br)Br	Training	1.13	0.7391158
244	71-55-6	CC(Cl)(Cl)Cl	Training	0.46	0.7217692
245	79-00-5	C(C(Cl)Cl)Cl	Training	0.67	0.76603365
246	79-34-5	C(C(Cl)Cl)(Cl)Cl	Test	0.93	0.9289965
247	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	0.59	1.0628636
248	74-97-5	C(Cl)Br	Training	0.4	0.4872279
249	106-93-4	C(CBr)Br	Training	0.35	0.83768344
250	109-69-3	CCCCCl	Training	1.15	1.0463108
251	4101-68-2	C(CCCCCBr)CCCCBr	Test	1.78	2.8974643
252	79-27-6	C(C(Br)Br)(Br)Br	Training	0.74	1.9321761
253	3229-00-3	C(C(CBr)(CBr)CBr)Br	Training	2.62	2.8844578
254	78-87-5	CC(CCl)Cl	Training	0.57	0.901798
255	96-18-4	C(C(CCl)Cl)Cl	Training	0.96	1.1437978
256	13116-53-5	C(C(CCl)(Cl)Cl)Cl	Training	1.57	1.3682249
257	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	1.7	1.3873583
258	76-12-0	FC(C(F)(Cl)Cl)(Cl)Cl	Test	1.78	1.2896405
259	75-35-4	C=C(Cl)Cl	Training	0.95	0.51134354
260	79-01-6	C(=C(Cl)Cl)Cl	Training	1.0	0.5096392
261	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	1.72	0.7158712
262	107-05-1	C=CCCl	Training	0.54	0.5926582
263	920-66-1	FC(F)(F)C(O)C(F)(F)F	Training	0.3	0.60083985
264	57-15-8	OC(C)(C)C(Cl)(Cl)Cl	Training	0.23	0.51309663
265	3296-90-0	OCC(CO)(CBr)CBr	Test	-0.04	0.35386875
266	1712-70-5	C=C(c1ccc(cc1)Cl)C	Training	2.84	2.8728063
267	98-08-8	FC(F)(F)c1ccccc1	Training	1.65	1.5938692
268	101-84-8	O(c1ccccc1)c2ccccc2	Training	2.51	2.5396092
270	103-50-4	O(Cc1ccccc1)Cc2ccccc2	Test	2.43	1.742638
271	608-73-1	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	2.77	3.0372596
272	87-84-3	C1(C(C(C(C(C1Br)Br)Br)Br)Br)Cl	Training	2.41	2.7181907
273	542-18-7	C1CCC(CC1)Cl	Training	2.34	1.5469161
274	510-15-6	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	2.68	2.0034297
275	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	3.53	3.6992884
276	606-28-0	O=C(OC)c2ccccc2(C(=O)c1ccccc1)	Training	0.91	1.676556
277	72-20-8	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	3.87	2.996433
279	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	3.74	4.3244267
280	2216-69-5	O(c1cccc2ccccc12)C	Training	2.21	1.580161
281	2173-57-1	O(c1ccc2ccccc2(c1))CC(C)C	Training	2.8	2.023251
282	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	0.32	0.2608302
283	32669-06-0	O(CCCl)C(c1ccccc1)c2ccccc2	Training	2.51	2.480345
284	59365-60-5	OCC(O)c1ccccc1Cl	Training	0.54	0.33467072
285	3380-34-5	Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl	Training	1.72	2.7075071
286	76-83-5	c1ccc(cc1)C(c2ccccc2)(c3ccccc3)Cl	Training	2.64	3.0420089
287	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	3.95	4.1497865
288	629-62-9	CCCCCCCCCCCCCCC	Test	1.22	2.8189952
289	4390-04-9	CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C	Training	1.98	2.6330419
290	28299-29-8	O=C(O)CC(C(=O)O)CCCCCCCCC=CCCCCCCCC	Training	0.22	0.9926317
291	1460-02-2	c1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C	Test	4.37	2.9678464
293	119-47-1	Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C	Test	1.97	1.8706293
294	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	2.43	1.7382984
296	13654-09-6	c2(c1c(c(c(c(c1Br)Br)Br)Br)Br)c(c(c(c(c2Br)Br)Br)Br)Br	Training	0.6	0.461705
300	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Test	1.19	1.5065612
301	3648-21-3	O=C(OCCCCCCC)c1ccccc1(C(=O)OCCCCCCC)	Training	1.06	1.4318923
302	26761-40-0	O=C(OCCCCCCCC(C)C)c1ccccc1(C(=O)OCCCCCCCC(C)C)	Training	1.16	0.7697142
303	3319-31-1	O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC	Training	0.27	0.7451631
305	121-44-8	N(CC)(CC)CC	Test	0.69	0.68518233
306	1116-76-3	N(CCCCCCCC)(CCCCCCCC)CCCCCCCC	Training	1.92	1.3501351
307	111-40-0	NCCNCCN	Training	0.01	0.40401456
308	79-46-9	O=[N+]([O-])C(C)C	Training	0.92	0.1180518
309	111-41-1	OCCNCCN	Training	0.46	0.5023119
310	102-71-6	OCCN(CCO)CCO	Test	0.59	0.4768045
311	122-20-3	OC(C)CN(CC(O)C)CC(O)C	Training	-0.24	0.004031943
312	96-29-7	ON=C(C)CC	Training	0.62	0.19913696
313	68-12-2	O=CN(C)C	Training	-0.13	0.10319011
314	111-94-4	N#CCCNCCC#N	Training	-0.48	0.08582695
315	461-58-5	N#CNC(=N)N	Training	0.49	0.11851805
316	100-61-8	c1ccc(cc1)NC	Training	1.0	0.8364141
317	579-10-2	O=C(N(c1ccccc1)C)C	Test	-0.3	0.6904294
318	91-66-7	c1ccc(cc1)N(CC)CC	Test	1.85	1.8484595
319	121-69-7	c1ccc(cc1)N(C)C	Training	0.87	1.1192956
320	103-69-5	c1ccc(cc1)NCC	Training	0.99	1.3597755
321	95-80-7	Nc1ccc(c(N)c1)C	Test	1.7	0.48156413
322	95-64-7	Nc1ccc(c(c1)C)C	Training	0.42	0.8863383
323	95-78-3	Nc1cc(ccc1C)C	Training	0.58	1.0993323
324	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	2.18	2.5488617
326	74-31-7	c1ccc(cc1)Nc2ccc(cc2)Nc3ccccc3	Training	3.12	2.8732939
327	108-45-2	Nc1cccc(N)c1	Training	0.38	0.26213118
328	611-21-2	c1ccc(c(c1)NC)C	Training	0.72	1.0544736
329	622-57-1	c1cc(ccc1NCC)C	Training	0.34	1.1149751
330	696-44-6	c1cc(cc(c1)C)NC	Test	0.65	1.0832998
331	95-51-2	Nc1ccccc1Cl	Training	1.36	0.78968406
