Id,CAS,SMILES,Status,Experimental value [-log(mol/l)],Predicted value [-log(mol/l)]
56,90-04-0,O(c1ccccc1(N))C,Training,4.01,4.482074
57,90-05-1,Oc1ccccc1(OC),Training,3.68,3.9582436
58,90-13-1,c1ccc2c(c1)cccc2Cl,Training,5.01,5.0402427
59,90-43-7,Oc1ccccc1c2ccccc2,Training,5.38,4.7087727
60,91-20-3,c1ccc2ccccc2(c1),Training,4.02,4.637413
61,91-22-5,n1cccc2ccccc12,Training,3.53,3.970745
62,91-64-5,O=C1Oc2ccccc2(C=C1),Training,4.03,4.726092
63,92-69-3,Oc1ccc(cc1)c2ccccc2,Training,4.67,4.780667
64,94-75-7,O=C(O)COc1ccc(cc1Cl)Cl,Training,3.41,4.857669
65,95-47-6,c1ccc(c(c1)C)C,Training,3.79,3.9295583
66,95-48-7,Oc1ccccc1C,Training,3.86,3.6844752
67,95-50-1,c1ccc(c(c1)Cl)Cl,Training,4.81,4.4620943
68,95-51-2,Nc1ccccc1Cl,Training,5.2,4.417834
69,95-57-8,Oc1ccccc1Cl,Training,4.29,3.91852
70,95-76-1,Nc1ccc(c(c1)Cl)Cl,Training,5.75,4.8447924
71,95-82-9,Nc1cc(ccc1Cl)Cl,Training,4.74,4.7894254
72,95-95-4,Oc1cc(c(cc1Cl)Cl)Cl,Training,4.92,4.637415
73,96-45-7,N1C(NCC1)=S,Training,3.59,3.1955638
74,97-00-7,O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl,Training,5.4,3.7435222
75,97-74-5,C(N(C)C)(=S)SC(N(C)C)=S,Training,4.86,5.493884
76,97-77-8,C(N(CC)CC)(=S)SSC(N(CC)CC)=S,Training,6.39,6.2094655
77,98-82-8,c1ccc(cc1)C(C)C,Training,3.68,4.0074935
78,98-95-3,O=[N+]([O-])c1ccccc1,Training,3.57,3.9548242
79,99-08-1,O=[N+]([O-])c1cccc(c1)C,Training,4.04,4.163704
80,99-51-4,O=[N+]([O-])c1ccc(c(c1)C)C,Training,3.98,4.384436
81,99-65-0,O=[N+]([O-])c1cccc(c1)[N+](=O)[O-],Training,3.59,4.1595554
82,99-87-6,c1cc(ccc1C)C(C)C,Training,4.32,4.1739235
83,99-99-0,O=[N+]([O-])c1ccc(cc1)C,Training,4.02,4.1540303
84,100-00-5,O=[N+]([O-])c1ccc(cc1)Cl,Training,4.31,3.7212818
85,100-02-7,O=[N+]([O-])c1ccc(O)cc1,Training,4.07,3.7936285
86,100-41-4,c1ccc(cc1)CC,Training,3.76,3.8780148
87,100-42-5,C=Cc1ccccc1,Training,3.41,4.019776
88,100-61-8,c1ccc(cc1)NC,Training,5.79,4.2935047
89,101-20-2,O=C(Nc1ccc(cc1)Cl)Nc2ccc(c(c2)Cl)Cl,Training,7.48,6.444776
90,101-55-3,O(c1ccccc1)c2ccc(cc2)Br,Training,5.84,6.065499
91,101-84-8,O(c1ccccc1)c2ccccc2,Training,5.41,4.5335765
92,102-08-9,c1ccc(cc1)NC(Nc2ccccc2)=S,Training,3.53,4.7167873
93,103-23-1,O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC,Training,5.75,5.131547
94,103-69-5,c1ccc(cc1)NCC,Training,5.46,4.4085383
95,103-72-0,C(=Nc1ccccc1)=S,Training,6.13,5.092904
96,103-85-5,NC(Nc1ccccc1)=S,Training,3.41,4.0281243
97,104-94-9,O(c1ccc(N)cc1)C,Training,5.57,4.4348392
98,105-37-3,O=C(OCC)CC,Training,2.84,2.6104417
99,105-67-9,Oc1ccc(cc1C)C,Training,4.77,3.8931808
100,106-41-2,Oc1ccc(cc1)Br,Training,4.46,4.785379
101,106-42-3,c1cc(ccc1C)C,Training,3.52,3.9226763
102,106-44-5,Oc1ccc(cc1)C,Training,3.71,3.8003922
103,106-46-7,c1cc(ccc1Cl)Cl,Training,4.13,4.395853
104,106-47-8,Nc1ccc(cc1)Cl,Training,6.41,4.4846354
105,106-48-9,Oc1ccc(cc1)Cl,Training,4.43,3.9601715
106,106-89-8,O1CC1CCl,Training,3.6,3.1659188
107,107-02-8,O=CC=C,Training,5.9,2.5243556
108,107-03-9,CCCS,Training,6.1,5.432022
109,107-06-2,C(CCl)Cl,Training,2.53,2.936593
110,107-07-3,OCCCl,Training,2.58,2.5404153
111,107-13-1,N#CC=C,Training,3.78,3.627339
112,107-15-3,NCCN,Training,3.36,3.026039
113,107-21-1,OCCO,Training,0.12,1.064039
114,108-38-3,c1cc(cc(c1)C)C,Training,3.43,3.932675
115,108-39-4,Oc1cccc(c1)C,Training,3.76,3.802923
116,108-44-1,Nc1cccc(c1)C,Training,5.17,4.334162
117,108-85-0,C1CCC(CC1)Br,Training,3.89,3.8022213
118,108-88-3,c1ccc(cc1)C,Training,2.98,3.7641866
119,108-95-2,Oc1ccccc1,Training,3.85,3.5605447
120,109-27-3,O=NN=NC(=NNNN=C(N)N)N,Training,3.67,3.8452468
121,109-46-6,N(C(NCCCC)=S)CCCC,Training,3.52,3.6026502
122,109-52-4,O=C(O)CCCC,Training,3.36,2.959238
123,109-89-7,N(CC)CC,Training,3.12,3.417003
124,110-02-1,c1ccsc1,Training,2.42,4.533276
125,110-83-8,C1=CCCCC1,Training,3.94,3.1861122
126,110-86-1,n1ccccc1,Training,1.83,3.0733168
127,111-70-6,OCCCCCCC,Training,3.23,3.1335897
128,111-90-0,OCCOCCOCC,Training,1.53,3.3408608
129,111-91-1,O(COCCCl)CCCl,Training,2.94,4.372372
130,112-27-6,OCCOCCOCCO,Training,0.52,2.081101
131,114-26-1,O=C(Oc1ccccc1(OC(C)C))NC,Training,5.22,5.147718
132,115-20-8,OCC(Cl)(Cl)Cl,Training,3,4.045898
133,115-29-7,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,6.13,6.0268793
134,115-31-1,N#CSCC(=O)OC1CC2CCC1(C)C2(C)(C),Training,6.45,6.488436
135,115-86-6,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,Training,5.51,7.527989
136,116-06-3,O=C(ON=CC(C)(C)SC)NC,Training,5.51,4.861897
137,116-29-0,O=S(=O)(c1ccc(cc1)Cl)c2cc(c(cc2Cl)Cl)Cl,Training,4.71,4.885051
138,118-79-6,Oc1c(cc(cc1Br)Br)Br,Training,5.71,5.67238
139,118-96-7,O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])C)[N+](=O)[O-],Training,4.39,4.198667
140,119-65-3,n1ccc2ccccc2(c1),Training,3.71,4.188923
141,120-72-9,c1ccc2[nH]ccc2(c1),Training,5.07,4.7672324
142,120-82-1,c1cc(c(cc1Cl)Cl)Cl,Training,4.57,4.8292227
143,120-83-2,Oc1ccc(cc1Cl)Cl,Training,4.8,4.280066
144,120-93-4,O=C1NCCN1,Training,1.19,2.845607
145,121-14-2,O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C,Training,3.72,4.3664246
146,121-29-9,O=C(OC)C(=CC2C(C(=O)OC1C(=C(C(=O)C1)CC=CC=C)C)C2(C)(C))C,Training,7.34,6.365625
147,121-75-5,O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S,Training,7.28,8.118461
148,121-87-9,O=[N+]([O-])c1ccc(N)c(c1)Cl,Training,4.49,3.975888
149,122-14-5,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C,Training,7.75,7.5379896
150,122-66-7,c1ccc(cc1)NNc2ccccc2,Training,4.65,4.6370153
151,123-54-6,O=C(C)CC(=O)C,Training,0.76,2.8657317
152,124-18-5,CCCCCCCCCC,Training,3.9,2.9747198
153,124-40-3,N(C)C,Training,2.96,3.003904
154,131-11-3,O=C(OC)c1ccccc1(C(=O)OC),Training,3.77,4.8042965
155,132-65-0,c1ccc3c(c1)c2ccccc2s3,Training,5.62,5.6148753
156,135-19-3,Oc1ccc2ccccc2(c1),Training,4.61,4.7325993
157,137-26-8,C(N(C)C)(=S)SSC(N(C)C)=S,Training,6.06,6.42509
158,140-66-9,Oc1ccc(cc1)C(C)(C)CC(C)(C)C,Training,6.36,5.4366484
159,141-78-6,O=C(OCC)C,Training,2.08,2.6071186
160,141-90-2,O=C1C=CNC(N1)=S,Training,4.22,3.5542119
161,142-28-9,C(CCl)CCl,Training,2.61,2.4960685
162,142-96-1,O(CCCC)CCCC,Training,3.7,2.8670723
163,143-50-0,O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,6.37,6.5463395
164,148-01-6,O=C(N)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-],Training,3.14,4.8778033
165,149-31-5,OCC(C)C(O)CC,Training,1.22,1.6133356
166,150-19-6,Oc1cccc(OC)c1,Training,3.48,3.892478
167,156-60-5,C(=CCl)Cl,Training,2.64,3.7494762
168,205-39-0,o2c1ccccc1c4c2ccc3ccccc34,Training,4.74,5.938359
169,205-43-6,c1ccc2c(c1)ccc4c2c3ccccc3s4,Training,6.03,6.252421
170,206-44-0,c1ccc2c(c1)c4cccc3cccc2c34,Training,6.34,5.6936717
171,298-00-0,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1,Training,7.34,7.4128246
172,311-45-5,O=[N+]([O-])c1ccc(OP(=O)(OCC)OCC)cc1,Training,9.16,6.679211
173,333-41-5,n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C,Training,8.18,6.8596444
174,470-90-6,O=P(OC(=CCl)c1ccc(cc1Cl)Cl)(OCC)OCC,Training,4.59,7.0414143
175,503-87-7,O=C1NC(NC1)=S,Training,3.77,3.1716514
176,506-77-4,N#CCl,Training,6.12,4.4542193
177,532-55-8,O=C(N=C=S)c1ccccc1,Training,4.93,5.112803
178,534-13-4,N(C(NC)=S)C,Training,3.8,4.0754604
179,534-52-1,O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-],Training,4.79,4.078559
180,536-90-3,O(c1cccc(N)c1)C,Training,5.64,4.4491334
181,541-73-1,c1cc(cc(c1)Cl)Cl,Training,4.31,4.4340577
182,554-00-7,Nc1ccc(cc1Cl)Cl,Training,5.43,4.781512
183,556-61-6,C(=NC)=S,Training,5.42,4.2370653
184,576-26-1,Oc1c(cccc1C)C,Training,4.04,3.8015106
185,578-54-1,Nc1ccccc1CC,Training,4.18,4.3870726
186,589-16-2,Nc1ccc(cc1)CC,Training,6.13,4.4946465
187,592-82-5,C(=NCCCC)=S,Training,5.43,3.8102
188,598-52-7,NC(NC)=S,Training,3.98,3.7914693
189,602-01-7,O=[N+]([O-])c1cccc(c1[N+](=O)[O-])C,Training,5.44,4.2269144
190,608-93-5,c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,Training,4.67,5.542352
191,609-19-8,Oc1cc(c(c(c1)Cl)Cl)Cl,Training,5.46,4.666318
192,618-62-2,O=[N+]([O-])c1cc(cc(c1)Cl)Cl,Training,4.41,4.181846
193,622-78-6,C(=NCc1ccccc1)=S,Training,6.54,5.066418
194,625-53-6,NC(NCC)=S,Training,3.87,3.3385675
195,630-20-6,C(C(Cl)(Cl)Cl)Cl,Training,3.85,4.4843316
196,634-67-3,Nc1ccc(c(c1Cl)Cl)Cl,Training,5.43,5.1670766
197,634-90-2,c1c(cc(c(c1Cl)Cl)Cl)Cl,Training,4.35,5.173276
198,636-30-6,Nc1cc(c(cc1Cl)Cl)Cl,Training,4.76,5.1329093
199,680-31-9,O=P(N(C)C)(N(C)C)N(C)C,Training,1.43,2.215901
200,709-98-8,O=C(Nc1ccc(c(c1)Cl)Cl)CC,Training,4.64,5.514884
201,825-44-5,O=S2(=O)(C=Cc1ccccc12),Training,4.07,3.7064912
202,872-50-4,O=C1N(C)CCC1,Training,4.91,2.6855757
203,877-43-0,n1c2ccc(cc2(ccc1C))C,Training,3.62,4.196274
204,935-95-5,Oc1c(c(cc(c1Cl)Cl)Cl)Cl,Training,5.61,4.9865727
205,944-22-9,O(CC)P(CC)(=S)Sc1ccccc1,Training,7.96,7.731632
206,959-98-8,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,5.54,6.0268793
207,1013-23-6,O=S2c3ccccc3(c1ccccc12),Training,4,5.1506696
208,1014-70-6,n1c(nc(nc1NCC)SC)NCC,Training,3.63,4.0516667
209,1024-57-3,O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,6.21,6.3992105
210,1031-07-8,O=S1(=O)(OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl),Training,5.3,6.4723973
211,1071-83-6,O=C(O)CNCP(=O)(O)O,Training,3.91,2.5187914
212,1241-94-7,O=P(Oc1ccccc1)(Oc2ccccc2)OCC(CC)CCCC,Training,6.38,7.8543024
213,1445-75-6,O=P(OC(C)C)(OC(C)C)C,Training,2.83,5.393872
214,1455-18-1,c1ccc2c(c1)c(cs2)C,Training,4.76,5.0561748
215,1516-32-1,NC(NCCCC)=S,Training,3.85,3.2186444
216,1570-64-5,Oc1ccc(cc1C)Cl,Training,5.69,4.172772
217,1582-09-8,O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F,Training,6.24,5.264181
218,1740-19-8,O=C(O)C2(C)(CCCC3(c1ccc(cc1CCC23)C(C)C)(C)),Training,4.55,6.0371437
219,1836-77-7,O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2,Training,5.88,5.5416093
220,1897-45-6,N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl,Training,6.21,6.943533
221,1912-24-9,n1c(nc(nc1NC(C)C)Cl)NCC,Training,4.36,3.7439594
222,01/02/1918,O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl,Training,3.68,4.3598022
223,1982-47-4,O=C(Nc2ccc(Oc1ccc(cc1)Cl)cc2)N(C)C,Training,4.99,6.438993
224,2008-58-4,O=C(N)c1c(cccc1Cl)Cl,Training,2.35,5.045909
225,2051-61-8,c1ccc(cc1)c2cccc(c2)Cl,Training,5.64,5.235462
226,2051-62-9,c1ccc(cc1)c2ccc(cc2)Cl,Training,5.65,5.197098
227,2303-17-5,O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl,Training,6.73,5.0868716
228,2556-42-5,C(N(CCC)CCC)(=S)SSC(N(CCC)CCC)=S,Training,6.19,6.312766
229,2668-24-8,Oc1c(OC)cc(c(c1Cl)Cl)Cl,Training,5.38,5.1561747
230,2764-72-9,c1cc[n+]3c(c1)c2cccc[n+]2CC3,Training,5.01,3.5123196
231,2782-91-4,C(N(C)C)(N(C)C)=S,Training,2.24,3.1162393
232,2921-88-2,n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl,Training,8.55,6.8234673
233,4044-65-9,C(=Nc1ccc(N=C=S)cc1)=S,Training,6.4,6.05861
234,4104-75-0,NC(N(c1ccccc1)C)=S,Training,3.24,4.135334
235,5964-62-5,O=S(=O)(c2ccc(N=Nc1cc(c(O)cc1C)C(C)C)cc2)c4ccc(N=Nc3cc(c(O)cc3C)C(C)C)cc4,Training,5.44,5.485866
236,6317-18-6,N#CSCSC#N,Training,6.25,5.791541
237,10605-21-7,O=C(OC)Nc1nc2ccccc2([nH]1),Training,6.27,4.487936
238,11141-17-6,O=C(OC1CC(OC(=O)C)C3(C(=O)OC)(COC2C(O)C(C)(C4C(O)(OCC14(C23))C(=O)OC)C78(OC8(C)(C6CC7(OC5OC=CC56(O))))))C(=CC)C,Training,6.06,6.3469396
239,14315-14-1,c2cc1c(ccs1)cc2C,Training,4.03,5.163086
240,15862-07-4,c1ccc(cc1)c2cc(c(cc2Cl)Cl)Cl,Training,5.64,5.732814
241,22431-62-5,O=C(OCc1coc(c1)Cc2ccccc2)C4C(C=C3CCCC3)C4(C)(C),Training,8.16,6.549326
242,23564-05-8,O=C(OC)NC(Nc1ccccc1(NC(NC(=O)OC)=S))=S,Training,4.33,4.2509356
243,25875-51-8,N=C(NN=Cc1ccc(cc1)Cl)NN=Cc2ccc(cc2)Cl,Training,6.65,6.316131
244,29232-93-7,n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C,Training,9.14,7.3031116
245,30125-65-6,n1c(nc(nc1NC(C)(C)C)SC)N,Training,4.29,4.313187
246,33213-65-9,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,5.43,6.0268793
247,33813-20-6,N2=C1N(C(=S)SS1)CC2,Training,5.92,6.3494253
248,35367-38-5,O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl,Training,7.83,6.333324
249,39433-01-7,N(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,Training,5.96,6.900426
250,51218-45-2,O=C(N(c1c(cccc1CC)C)C(C)COC)CCl,Training,4.34,5.842875
251,51235-04-2,O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C,Training,3.22,3.341828
252,51630-58-1,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,Training,7.99,8.329717
253,52315-07-8,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,9.06,8.543917
254,52645-53-1,O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C),Training,7.9,7.0129647
255,52918-63-5,N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,10.12,9.439164
256,57057-83-7,Oc1cc(c(c(c1(OC))Cl)Cl)Cl,Training,5.49,5.1397505
257,60207-90-1,n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl,Training,4.71,4.3432736
258,66230-04-4,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,Training,9.19,8.329717
259,66841-25-6,N#CC(OC(=O)C1C(C(C(Br)(Br)Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,9.85,10.306279
260,68085-85-8,N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,7.22,8.6751585
261,68359-37-5,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3,Training,9.41,8.612833
262,76738-62-0,OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C,Training,4.01,3.5795188
263,82657-04-3,O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C),Training,7.82,7.314845
264,91465-08-6,N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,8.64,8.6751585
265,98886-44-3,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.63,5.4098487
266,960003-90-1,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,6.11,5.4098487
267,960003-91-2,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.95,5.4098487
268,960003-92-3,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.76,5.4098487
269,960003-93-4,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.62,5.4098487
270,50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,Test,6.92,6.5442147
271,51-03-6,O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC,Test,5.08,6.069631
272,51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],Test,4.59,3.8996773
273,56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,Test,8.26,7.4198136
274,58-27-5,O=C1C=C(C(=O)c2ccccc12)C,Test,5.55,4.9819064
275,58-89-9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Test,5.21,4.6439404
276,58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Test,5.99,4.9784656
277,59-06-3,O=C(OC)c1ccc(cc1(OCC))NC(=O)C,Test,3.07,5.5043564
278,63-25-2,O=C(Oc1cccc2ccccc12)NC,Test,5.3,5.625929
279,67-64-1,O=C(C)C,Test,0.67,2.3932698
280,67-66-3,C(Cl)(Cl)Cl,Test,3.25,3.8442872
281,72-20-8,O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,Test,6.38,6.3353033
282,75-05-8,N#CC,Test,1.06,3.2482185
283,76-44-8,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Test,6.51,6.4798183
284,77-47-4,C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl,Test,6.78,4.7475195
285,78-99-9,CCC(Cl)Cl,Test,3.69,2.6873624
286,79-34-5,C(C(Cl)Cl)(Cl)Cl,Test,3.47,4.1218348
287,83-32-9,c2cc1cccc3c1c(c2)CC3,Test,3.58,4.9839377
288,83-41-0,O=[N+]([O-])c1cccc(c1C)C,Test,4.56,4.3808556
289,85-01-8,c1ccc3c(c1)ccc2ccccc23,Test,5.36,5.3662724
290,85-68-7,O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC),Test,3.82,5.722006
291,87-86-5,Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,Test,5.52,5.3154607
292,88-06-2,Oc1c(cc(cc1Cl)Cl)Cl,Test,4.8,4.611254
293,92-52-4,c1ccc(cc1)c2ccccc2,Test,4.91,4.716915
294,92-83-1,O2c1ccccc1Cc3ccccc23,Test,3.95,4.915336
295,95-15-8,c1ccc2c(c1)ccs2,Test,3.36,5.057913
296,95-53-4,Nc1ccccc1C,Test,5.31,4.216991
297,105-55-5,N(C(NCC)=S)CC,Test,2.84,3.5422237
298,107-11-9,C=CCN,Test,3.13,2.5727751
299,107-92-6,O=C(O)CCC,Test,3.16,2.689823
300,108-18-9,N(C(C)C)C(C)C,Test,2.35,3.8840244
301,108-42-9,Nc1cccc(c1)Cl,Test,6.11,4.494525
302,108-90-7,c1ccc(cc1)Cl,Test,3.94,4.0228076
303,111-42-2,OCCNCCO,Test,2.98,1.587866
304,111-44-4,O(CCCl)CCCl,Test,2.78,3.7239828
305,121-73-3,O=[N+]([O-])c1cccc(c1)Cl,Test,3.84,3.7588868
306,126-73-8,O=P(OCCCC)(OCCCC)OCCCC,Test,4.86,6.7724304
307,127-18-4,C(=C(Cl)Cl)(Cl)Cl,Test,3.96,3.878578
308,132-64-9,o2c1ccccc1c3ccccc23,Test,5,5.2346277
309,260-94-6,n1c3ccccc3(cc2ccccc12),Test,4.89,4.508634
310,542-75-6,C(=CCl)CCl,Test,4.25,3.2116063
311,542-85-8,C(=NCC)=S,Test,5.31,3.9090316
